,First Name,Last Name,Email,Phone,Gender,Age,Job Title,Years Of Experience,Salary,Department,SSN,Languages,Country
0,Jose,Lopez,joselopez0944@slingacademy.com,+1-971-533-4552x1542,male,25,Project Manager,1,8500,Product,354-03-4009,,Taiwan
1,Diane,Carter,dianecarter1228@slingacademy.com,881.633.0107,female,26,Machine Learning Engineer,2,7000,Product,424-06-8862,French,India
2,Shawn,Foster,shawnfoster2695@slingacademy.com,001-966-861-0065x493,male,37,Project Manager,14,17000,Product,427-04-6986,Tagalog,Taiwan
3,Brenda,Fisher,brendafisher3185@slingacademy.com,001-574-564-4648,female,31,Web Developer,8,10000,Product,542-36-2718,"Korean, German",India
4,Sean,Hunter,seanhunter4753@slingacademy.com,5838355842,male,35,Project Manager,11,14500,Product,661-05-7525,,India
5,Joshua,Jacobs,joshuajacobs5904@slingacademy.com,053-913-2609,male,28,Project Manager,3,10500,Product,651-86-6413,,India
6,Brianna,Marshall,briannamarshall6438@slingacademy.com,701-932-8553,female,33,Machine Learning Engineer,10,11000,Product,445-44-5251,German,Philippines
7,John,Tate,johntate7881@slingacademy.com,001-889-992-5260x62725,male,33,Mobile Developer,10,11000,Product,234-85-1231,"Mandarin, Spanish",India
8,Jillian,Byrd,jillianbyrd8170@slingacademy.com,077-635-0084x1647,female,34,Web Developer,10,11000,Product,153-77-4104,"Spanish, Mandarin",India
9,Melanie,Sharp,melaniesharp9256@slingacademy.com,(848)212-0230,female,41,Web Developer,15,14500,Product,227-29-4652,,India
10,Brandy,Mckee,brandymckee10500@slingacademy.com,001-085-315-6112x464,female,37,Web Developer,14,14000,Product,511-78-4232,"Tagalog, Korean",India
11,Robert,Simpson,robertsimpson11778@slingacademy.com,496-469-5331x659,male,36,DevOps Engineer,12,15000,Product,076-83-6854,Korean,India
12,George,Mckenzie,georgemckenzie12384@slingacademy.com,(843)416-2489,male,28,Machine Learning Engineer,4,10000,Product,597-75-0267,"Tagalog, French",India
13,Joseph,Smith,josephsmith13724@slingacademy.com,+1-380-230-4166,male,40,Machine Learning Engineer,14,14000,Product,794-43-5560,Tagalog,Mexico
14,Dana,Crawford,danacrawford14310@slingacademy.com,(848)716-0019x0240,female,32,Project Manager,8,12000,Product,320-70-0750,"French, Spanish",Mexico
15,Christopher,Benson,christopherbenson15937@slingacademy.com,+1-368-801-2914x8616,male,29,Web Developer,5,7500,Product,677-53-2515,Hindi,India
16,Nicole,Smith,nicolesmith16360@slingacademy.com,289.372.5080x2156,female,26,Designer,4,10000,Product,736-86-3760,Spanish,India
17,Peter,Jimenez,peterjimenez17791@slingacademy.com,001-535-827-3787x317,male,28,Mobile Developer,3,6500,Product,146-39-0565,Korean,India
18,Sergio,Boyle,sergioboyle18425@slingacademy.com,3027626274,male,31,Tester,6,9000,Product,738-89-7672,,India
19,Brianna,Moss,briannamoss19517@slingacademy.com,+1-529-287-4857x163,female,31,Designer,5,10500,Product,435-37-2363,,South Korea
20,Taylor,Garner,taylorgarner20196@slingacademy.com,931-244-1612x38767,female,32,Machine Learning Engineer,6,11000,Product,456-85-5669,German,China
21,Michael,Padilla,michaelpadilla21381@slingacademy.com,(787)446-1738,male,29,Tester,5,9500,Product,319-17-2111,"Hindi, Spanish",India
22,Yvette,Walker,yvettewalker22744@slingacademy.com,154-489-0248,female,26,Designer,2,7000,Product,184-15-7956,Spanish,Philippines
23,Kristina,Pena,kristinapena23750@slingacademy.com,+1-099-174-5458x294,female,34,DevOps Engineer,11,12500,Product,646-90-1922,,Mexico
24,Vanessa,Reynolds,vanessareynolds24710@slingacademy.com,+1-357-911-9617x44729,female,36,Machine Learning Engineer,10,13000,Product,334-42-0785,"Korean, French",India
25,Robert,Suarez,robertsuarez25924@slingacademy.com,+1-121-053-2698x314,male,33,Tester,9,9500,Product,694-76-5600,Korean,India
26,Tammy,Ellis,tammyellis26570@slingacademy.com,029.476.5817x88014,female,37,HR Manager,14,14000,Human Resource,204-40-4687,French,Canada
27,Rodney,Porter,rodneyporter27496@slingacademy.com,+1-508-187-4826,male,28,DevOps Engineer,3,9500,Product,502-79-7306,"Korean, French",India
28,David,Reyes,davidreyes28592@slingacademy.com,(725)355-0896x3876,male,25,Designer,2,7000,Product,578-38-0986,"Korean, Tagalog",India
29,Brian,Kirby,briankirby29574@slingacademy.com,458.110.0220x9710,male,31,Machine Learning Engineer,8,10000,Product,493-26-2545,,India
30,Tammy,Walker,tammywalker30386@slingacademy.com,+1-810-034-9706x602,female,31,Web Developer,7,8500,Product,013-01-4812,Spanish,India
31,Angela,Stewart,angelastewart31951@slingacademy.com,745-157-5520,female,34,HR Manager,10,10000,Human Resource,638-91-0827,Mandarin,India
32,Susan,Parker,susanparker32865@slingacademy.com,255.599.0102,female,25,DevOps Engineer,3,8500,Product,233-91-1076,German,India
33,Robert,Hogan,roberthogan33599@slingacademy.com,1138662041,male,24,Tester,2,7000,Product,205-26-4077,"Mandarin, Spanish",India
34,Dawn,Pham,dawnpham34908@slingacademy.com,(106)836-9118x102,female,27,Designer,4,9000,Product,818-73-0805,Tagalog,China
35,Karen,Duke,karenduke35869@slingacademy.com,622.245.2756,female,29,DevOps Engineer,6,11000,Product,597-91-5406,Hindi,India
36,Julian,Thompson,julianthompson36437@slingacademy.com,392.181.9671x23227,male,28,Machine Learning Engineer,4,7000,Product,173-94-5166,,India
37,Daisy,Perry,daisyperry37789@slingacademy.com,+1-921-685-9612x0086,female,30,Tester,5,9500,Product,746-39-9228,Korean,India
38,Sarah,Smith,sarahsmith38793@slingacademy.com,(110)771-1347x58805,female,24,Machine Learning Engineer,2,6000,Product,802-14-9158,Hindi,India
